id,name,res_id,lang,type,src,value,module,state,comments,lp_key,lp_isusedbyexternalapps
2235220,other,,en_US,,Ordering,Ordering,,translated,,en_US_sheet_ordering_button,t
2235221,other,,en_US,,Bill Payment,Bill Payment,,translated,,en_US_sheet_bill_payment_button,t
2235222,other,,en_US,,Commission Reports,Commission Reports,,translated,,en_US_sheet_commission_reports_button,t
2235223,other,,en_US,,Manage Subscription,Manage Subscription,,translated,,en_US_sheet_manage_subscription_button,t
2235224,other,,en_US,,Settings,Settings,,translated,,en_US_sheet_settings_button,t
2235225,other,,en_US,,Logout,Logout,,translated,,en_US_sheet_logout_button,t
2235226,other,,en_US,,Settings,Settings,,translated,,en_US_settings_settings_title_label,t
2235227,other,,en_US,,Language,Language,,translated,,en_US_settings_language_picker,t
2235228,other,,en_US,,Allow Touch ID,Allow Touch ID,,translated,,en_US_settings_allow_touch_id_switch,t
2235229,other,,en_US,,Allow Face ID,Allow Face ID,,translated,,en_US_settings_allow_face_id_switch,t
2235230,other,,en_US,,Version,Version,,translated,,en_US_settings_version_label,t
2235231,other,,en_US,,Build Number,Build Number,,translated,,en_US_settings_build number_label,t
2235232,other,,en_US,,"Are You Sure You Want
 To Quit ?","Are You Sure You Want
 To Quit ?",,translated,,en_US_alert_quit_title_label,t
2235233,other,,en_US,,Customer Subscriptions,Customer Subscriptions,,translated,,en_US_customer_subscriptions_title_label,t
2235234,other,,en_US,,Plan,Plan,,translated,,en_US_customer_subscriptions_plan_label,t
2235235,other,,en_US,,Addons,Addons,,translated,,en_US_customer_subscriptions_addons_label,t
2235236,other,,en_US,,Discover Addons,Discover Addons,,translated,,en_US_customer_discover_addons_button,t
2235237,other,,en_US,,Select Addons,Select Addons,,translated,,en_US_select_addons_title_label,t
2235238,other,,en_US,,"Choose Addons For Your Fibernet
 Plan","Choose Addons For Your Fibernet
 Plan",,translated,,en_US_select_addons_choose_addons_label,t
2235239,other,,en_US,,Add,Add,,translated,,en_US_select_addons_add_button,t
2235240,other,,en_US,,Next,Next,,translated,,en_US_select_addons_next_button,t
2235241,other,,en_US,,Plan Upgrade,Plan Upgrade,,translated,,en_US_alert_plan_upgrade_title_label,t
2235242,other,,en_US,,Are You Sure Upgrade This Plan,Are You Sure Upgrade This Plan,,translated,,en_US_alert_are_you_sure_upgrade_this_plan_title_label,t
2235243,other,,en_US,,Plan Upgraded,Plan Upgraded,,translated,,en_US_alert_plan_upgraded_title_label,t
2235244,other,,en_US,,Plan Upgraded Successfully,Plan Upgraded Successfully,,translated,,en_US_alert_plan_upgraded_successfully_body_label,t
2235245,other,,en_US,,ID Scanning,ID Scanning,,translated,,en_US_id_scanning_title_label,t
2235246,other,,en_US,,Skip,Skip,,translated,,en_US_id_scanning_skip_button,t
2235247,other,,en_US,,Scan ID,Scan ID,,translated,,en_US_id_scanning_scan_id_button,t
2235248,other,,en_US,,Search Subscription,Search Subscription,,translated,,en_US_search_subscription_title_label,t
2235249,other,,en_US,,"Please enter customer ID
 or You can scan it","Please enter customer ID
 or You can scan it",,translated,,en_US_search_subscription_please_enter_customer_id_label,t
2235250,other,,en_US,,ID Type,ID Type,,translated,,en_US_search_subscription_id_type_picker,t
2235251,other,,en_US,,ID Number,ID Number,,translated,,en_US_search_subscription_id_number_text_field,t
2235252,other,,en_US,,Search,Search,,translated,,en_US_search_subscription_search_button,t
2235253,other,,en_US,,ID Scan,ID Scan,,translated,,en_US_search_subscription_id_scan_button,t
2235254,other,,en_US,,Customer Details,Customer Details,,translated,,en_US_customer_details_title_label,t
2235255,other,,en_US,,Enter Customer Details,Enter Customer Details,,translated,,en_US_customer_details_enter_customer_details_label,t
2235256,other,,en_US,,ID Type,ID Type,,translated,,en_US_customer_details_id_type_picker,t
2235257,other,,en_US,,ID Number,ID Number,,translated,,en_US_customer_details_id_number_text_field,t
2235258,other,,en_US,,Expiry Date *,Expiry Date *,,translated,,en_US_customer_details_expiry_date_text_field,t
2235259,other,,en_US,,Personal Information,Personal Information,,translated,,en_US_customer_details_personal_information_label,t
2235260,other,,en_US,,Title *,Title *,,translated,,en_US_customer_details_title_picker,t
